Year,Period,labor_force_participation_rate,employment_population-ratio,labor_force,employment,unemployment,unemployment_rate
1991,Jan,62.2,58.2,8773727,8209122,564605,6.4
1991,Feb,62.1,57.9,8758006,8168428,589578,6.7
1991,Mar,62.2,57.8,8766508,8153993,612515,7
1991,Apr,62.2,57.8,8771073,8140451,630622,7.2
1991,May,62.2,57.7,8770127,8127978,642149,7.3
1991,Jun,62.2,57.6,8764102,8116914,647188,7.4
1991,Jul,62.1,57.5,8753769,8105713,648056,7.4
1991,Aug,62,57.4,8741406,8092762,648644,7.4
1991,Sep,61.9,57.3,8729813,8076760,653053,7.5
1991,Oct,61.8,57.1,8719869,8056199,663670,7.6
1991,Nov,61.8,56.9,8712428,8032894,679534,7.8
1991,Dec,61.7,56.8,8707458,8010067,697391,8
1992,Jan,61.7,56.7,8706178,7991644,714534,8.2
1992,Feb,61.7,56.6,8709813,7979433,730380,8.4
1992,Mar,61.8,56.5,8719632,7975334,744298,8.5
1992,Apr,61.9,56.6,8735103,7978590,756513,8.7
1992,May,62,56.6,8750871,7983836,767035,8.8
1992,Jun,62.1,56.6,8762742,7987488,775254,8.8
1992,Jul,62.2,56.6,8770278,7989659,780619,8.9
1992,Aug,62.2,56.6,8773672,7991445,782227,8.9
1992,Sep,62.1,56.6,8773887,7994081,779806,8.9
1992,Oct,62.1,56.6,8772922,7999640,773282,8.8
1992,Nov,62,56.6,8770480,8006960,763520,8.7
1992,Dec,62,56.7,8766588,8014958,751630,8.6
1993,Jan,62,56.7,8762058,8023792,738266,8.4
1993,Feb,61.9,56.8,8756783,8032552,724231,8.3
1993,Mar,61.9,56.8,8751392,8040290,711102,8.1
1993,Apr,61.8,56.9,8745154,8045683,699471,8
1993,May,61.8,56.9,8738912,8048317,690595,7.9
1993,Jun,61.7,56.9,8734009,8048434,685575,7.8
1993,Jul,61.6,56.8,8728275,8045221,683054,7.8
1993,Aug,61.6,56.8,8721868,8040565,681303,7.8
1993,Sep,61.5,56.7,8717155,8038014,679141,7.8
1993,Oct,61.5,56.7,8715402,8038806,676596,7.8
1993,Nov,61.5,56.7,8716941,8042306,674635,7.7
1993,Dec,61.5,56.8,8719570,8047617,671953,7.7
1994,Jan,61.5,56.8,8719039,8052875,666164,7.6
1994,Feb,61.5,56.9,8712773,8056402,656371,7.5
1994,Mar,61.4,56.9,8701585,8057665,643920,7.4
1994,Apr,61.3,56.9,8688145,8057850,630295,7.3
1994,May,61.2,56.9,8676273,8059574,616699,7.1
1994,Jun,61.2,56.9,8668851,8064618,604233,7
1994,Jul,61.1,57,8667957,8074627,593330,6.8
1994,Aug,61.2,57.1,8672077,8088625,583452,6.7
1994,Sep,61.2,57.1,8677501,8103949,573552,6.6
1994,Oct,61.2,57.2,8681113,8119010,562103,6.5
1994,Nov,61.2,57.3,8682369,8132577,549792,6.3
1994,Dec,61.2,57.4,8681361,8141526,539835,6.2
1995,Jan,61.2,57.4,8677366,8142602,534764,6.2
1995,Feb,61.1,57.4,8671425,8137136,534289,6.2
1995,Mar,61.1,57.3,8665281,8127898,537383,6.2
1995,Apr,61,57.2,8660916,8117854,543062,6.3
1995,May,61,57.2,8659978,8110330,549648,6.3
1995,Jun,61,57.1,8661964,8107121,554843,6.4
1995,Jul,61.1,57.1,8666019,8107846,558173,6.4
1995,Aug,61.1,57.1,8670255,8110637,559618,6.5
1995,Sep,61.1,57.1,8672475,8113828,558647,6.4
1995,Oct,61,57.1,8672136,8116152,555984,6.4
1995,Nov,61,57.1,8670536,8118468,552068,6.4
1995,Dec,61,57.2,8671789,8123272,548517,6.3
1996,Jan,61.1,57.2,8680061,8132910,547151,6.3
1996,Feb,61.2,57.3,8695968,8147151,548817,6.3
